regiao;uf;municipio;codigo_ibge;taxa_analfabetismo_censo_ibge_2022;populacao_total_municipio_15_anos_censo_ibge_2022;populacao_nao_alfabetizada_censo_ibge_2022;matriculas_eja_fundamental_medio;escolas_municipais_eja;escolas_estaduais_eja;tem_tipo_matricula_eja;aderiu_pba_2024_sba;aderiu_pba_2025_sba;aderiu_pba_saldos_simec;unidade_prisional_oferta_educacional;15_19_anos_populacao_nao_alfabetizada;20_24_anos_populacao_nao_alfabetizada;25_34_anos_populacao_nao_alfabetizada;35_44_anos_populacao_nao_alfabetizada;45_54_anos_populacao_nao_alfabetizada;55_64_anos_populacao_nao_alfabetizada;65_anos_ou_mais_populacao_nao_alfabetizada;ano_adesao
Sul ;Paraná ;Janiópolis ;4112207.0;12.760310330747243;4898.0;625.0;70.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.8287292817679558;0.2710027100271002;1.5736766809728182;4.244031830238726;12.053571428571429;18.377088305489263;32.244897959183675;não
Sul ;Paraná ;Jandaia do Sul ;4112108.0;5.219934750815615;17778.0;928.0;268.0;1.0;2.0;Sim;Não ;Não;Não ;Unidade sem oferta;0.933852140077821;1.1140235910878111;1.1;1.760104302477184;3.946488294314381;6.854390515005558;15.856697819314642;2024
Sul ;Paraná ;Jaguariaíva ;4112009.0;4.959100204498978;27384.0;1358.0;316.0;1.0;2.0;Sim;Não ;SIM;Não ;Unidade sem oferta;0.9331259720062208;1.1284046692607004;0.8321005917159764;1.8776824034334765;4.816870144284128;8.793686583990981;19.62997804954531;2024
Sul ;Paraná ;Jaguapitã ;4111902.0;6.240651487452219;12034.0;751.0;74.0;1.0;1.0;Sim;Não ;Não;Não ;sem unidade;1.2720156555772992;0.9632224168126094;1.0438413361169103;2.635046113306983;5.646817248459959;9.842995169082126;23.14930991217064;2024
Sul ;Paraná ;Jacarezinho ;4111803.0;6.837606837606838;32292.0;2208.0;809.0;1.0;2.0;Sim;Não ;Não;Não ;Unidade com oferta;1.140125045972784;0.9591474245115452;1.487994589110585;2.660300136425648;5.705533218456826;10.953769262807164;21.836528758829463;2024
Sul ;Paraná ;Jaboti ;4111704.0;8.977272727272727;4400.0;395.0;22.0;1.0;0.0;Sim;Não ;SIM;Não ;sem unidade;1.3550135501355014;1.1764705882352942;1.5384615384615383;2.094240837696335;5.128205128205128;13.39779005524862;30.10899182561308;2024
Sul ;Paraná ;Ivatuba ;4111605.0;5.567830313742819;2263.0;126.0;0.0;0.0;0.0;Não ;Não ;Não;Não ;sem unidade;0.0;0.628930817610063;0.0;1.98019801980198;4.385964912280701;7.608695652173914;15.644820295983086;2024
Sul ;Paraná ;Ivaté ;4111555.0;8.207343412526997;5556.0;456.0;131.0;0.0;2.0;Sim;Não ;SIM;Não ;sem unidade;1.146788990825688;1.5228426395939088;1.0688836104513064;3.0332681017612524;5.408062930186824;9.73741794310722;28.0343716433942;2024
Sul ;Paraná ;Ivaiporã ;4111506.0;7.62514336453439;27029.0;2061.0;432.0;2.0;2.0;Sim;Não ;Não;Não ;Unidade sem oferta;0.7444168734491315;1.2007684918347743;1.0823945217583388;2.389436176902117;5.22273425499232;9.73348783314021;25.1994960100798;2024
Sul ;Paraná ;Ivaí ;4111407.0;6.107531018563047;10397.0;635.0;40.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;1.0880316518298714;1.7418032786885245;1.3584117032392893;2.4610748367654445;5.850746268656716;11.330049261083744;19.37544357700497;2024
